Audio File,New Link,File Name
"Hriech, hriechy a svedomie",https://drive.google.com/file/d/1kmiGWCwUS_FGbHWJ_QR-vylB-R6tDhWY/preview,2020_12 DCD11cz Hrich_hrichy a svedomi.mp3
Boh v liste Rimanom I.,https://drive.google.com/file/d/1sSqPIxkLP5iMLC2fRJruvSpe2ph7-lr_/preview,2020_12 DCD11cz Búh v listu ⁿimanúm 1.mp3
Boh v liste Rimanom II.,https://drive.google.com/file/d/1O_la0QcqmNA6iOoosBjd787TbxxduQdi/preview,2020_12 DCD11cz Bàh v listu ⁿimanàm 2.mp3
Boh v liste Rimanom III.,https://drive.google.com/file/d/1tqD-e285sUODJ5ilf0USupYy5C-LNa4B/preview,2020_12 DCD11cz Bàh v listu ⁿimanàm 3.mp3
Boh v liste Rimanom IV.,https://drive.google.com/file/d/1-UQgJqaFF5IyZ1iVeIRzpgzuaM1gwOZm/preview,2020_12 DCD11cz Bàh v listu ⁿimanàm 4.mp3
"Láska, milosť a zákon",https://drive.google.com/file/d/1gvycYjjQKvWPRZF0V_IiDl4NMFW74J0h/preview,2020_12 DCD11cz Laska milost a zakon.mp3
Úloha zákona,https://drive.google.com/file/d/1XWrkX_JZGe9MFT941sfgkjOJpxC-fMce/preview,2020_12 DCD11cz Uloha zakona.mp3
Zaopatrenie Božou láskou,https://drive.google.com/file/d/1ErWmM5shGuU6nwrFtkZaS5fXteDYb8ny/preview,2020_12 DCD11cz Zaopatreni Bozi lasky.mp3
Zúčastnené strany - Boha a človek,https://drive.google.com/file/d/1x2UQUXBc2j4NXyTARyDCWYOZdRDWp05s/preview,2020_12 DCD11cz Zucastnene strany Buh a clovek.mp3
Vzťah medzi spásou a spravodlivosťou,https://drive.google.com/file/d/1F_omvJnrw3_5ZqtTqNnM5KhhMoZMz91a/preview,2020_12 DCD11cz Vztah mezi spasou a spravedlnosti.mp3
Kristova spravodlivosť,https://drive.google.com/file/d/1URdreFi5RV1R2iR-LWfGc6gU6If41LYE/preview,2020_12 DCD11cz Kristova spravedlnost.mp3
Ochota trpieť I.,https://drive.google.com/file/d/1EwpTQ4XJ3aCfgrbsAZAKT44Gm1mr7TZM/preview,2020_12 DCD11cz Ochota trp╪t 1_2.mp3
Ochota trpieť II.,https://drive.google.com/file/d/1jD1var9pJhxz60w6gXuV0YPMTIN2SVOk/preview,2020_12 DCD11cz Ochota trp╪t 2_2.mp3
Dobrý poslucháč I.,https://drive.google.com/file/d/1j2oVVQML1ojzn-RNlfpdjGTxeEi3CEoA/preview,2020_12 DCD11cz Dobr∞ posluchaƒ 1_3.mp3
Dobrý poslucháč II.,https://drive.google.com/file/d/1B8IN4Y2gRvzrtijUNrQ86Hf-o4sZYWbz/preview,2020_12 DCD11cz Dobr∞ posluchaƒ 2_3.mp3
Dobrý poslucháč III.,https://drive.google.com/file/d/1QZO4acAlErVo0NdXgPJEARKDBz0IchJ0/preview,2020_12 DCD11cz Dobr∞ posluchaƒ 3_3.mp3
Milovník ľudí I.,https://drive.google.com/file/d/19Rhr6-qGvFzhrWgNHesiZIdHKa6S0qB0/preview,2020_12 DCD11cz Milovník lidí 1_2.mp3
Milovník ľudí II.,https://drive.google.com/file/d/1B2u0ddN6mzPukn5BNwvmgBhHJJhCFSJD/preview,2020_12 DCD11cz Milovník lidí 2_2.mp3
